	cluster
GSM1624608	GSM1624608	2
GSM1624609	GSM1624609	2
GSM1624610	GSM1624610	2
GSM1624611	GSM1624611	1
GSM1624612	GSM1624612	2
GSM1624613	GSM1624613	2
GSM1624614	GSM1624614	2
GSM1624615	GSM1624615	2
GSM1624616	GSM1624616	2
GSM2331334	GSM2331334	2
GSM2331335	GSM2331335	1
GSM2331336	GSM2331336	1
GSM2331337	GSM2331337	1
GSM2331338	GSM2331338	1
GSM2331339	GSM2331339	1
GSM2331340	GSM2331340	1
GSM2331341	GSM2331341	1
GSM2331342	GSM2331342	1
GSM2331343	GSM2331343	1
GSM2331345	GSM2331345	1
GSM2331346	GSM2331346	2
GSM2331347	GSM2331347	1
GSM2331348	GSM2331348	1
GSM2331349	GSM2331349	1
GSM2331350	GSM2331350	1
GSM2331351	GSM2331351	1
GSM2331352	GSM2331352	1
GSM2331353	GSM2331353	1
GSM2331354	GSM2331354	1
GSM4221667	GSM4221667	1
GSM4221668	GSM4221668	2
GSM4221669	GSM4221669	2
GSM4221671	GSM4221671	2
GSM4221673	GSM4221673	1
GSM4221674	GSM4221674	2
GSM4221675	GSM4221675	2
GSM4221677	GSM4221677	2
GSM4221678	GSM4221678	1
GSM4221679	GSM4221679	2
GSM4221680	GSM4221680	2
GSM4221682	GSM4221682	2
GSM4221683	GSM4221683	1
GSM4221684	GSM4221684	2
GSM4221685	GSM4221685	2
GSM4221686	GSM4221686	1
GSM4221687	GSM4221687	2
GSM4221688	GSM4221688	1
GSM4221689	GSM4221689	2
GSM4221690	GSM4221690	2
GSM4221691	GSM4221691	1
GSM4221692	GSM4221692	2
GSM4221693	GSM4221693	1
GSM4221694	GSM4221694	1
GSM4221695	GSM4221695	2
GSM4221696	GSM4221696	2
GSM4221697	GSM4221697	2
GSM4221698	GSM4221698	2
GSM4221699	GSM4221699	1
GSM4221700	GSM4221700	2
GSM4221701	GSM4221701	2
GSM4221702	GSM4221702	1
GSM4221703	GSM4221703	1
GSM4221704	GSM4221704	2
GSM4221705	GSM4221705	2
GSM4221706	GSM4221706	2
GSM4221707	GSM4221707	2
GSM5252261	GSM5252261	1
GSM5252262	GSM5252262	2
GSM5252263	GSM5252263	1
GSM5252264	GSM5252264	2
GSM5252265	GSM5252265	1
GSM5252266	GSM5252266	2
GSM5252267	GSM5252267	1
GSM5252268	GSM5252268	2
GSM5252269	GSM5252269	1
GSM5252270	GSM5252270	2
GSM5252271	GSM5252271	2
GSM5252272	GSM5252272	1
GSM5252273	GSM5252273	2
GSM5252274	GSM5252274	2
GSM5252275	GSM5252275	2
GSM5252276	GSM5252276	2
GSM5252277	GSM5252277	2
GSM5252278	GSM5252278	2
GSM5252279	GSM5252279	1
GSM5252280	GSM5252280	2
GSM5252281	GSM5252281	2
GSM5252282	GSM5252282	2
GSM5252283	GSM5252283	2
GSM5252284	GSM5252284	1
GSM5252285	GSM5252285	2
GSM5252286	GSM5252286	2
GSM5252287	GSM5252287	2
GSM5252288	GSM5252288	2
GSM5252289	GSM5252289	2
GSM5252290	GSM5252290	1
GSM5252291	GSM5252291	2
GSM5252292	GSM5252292	1
GSM5252293	GSM5252293	2
GSM5252294	GSM5252294	2
GSM5252295	GSM5252295	2
GSM5252296	GSM5252296	2
GSM5252297	GSM5252297	2
GSM5252298	GSM5252298	1
GSM5252299	GSM5252299	2
GSM5252300	GSM5252300	2
GSM5252301	GSM5252301	1
