	cluster
GSM506641	GSM506641	2
GSM506642	GSM506642	2
GSM506643	GSM506643	2
GSM506644	GSM506644	2
GSM506645	GSM506645	2
GSM506646	GSM506646	2
GSM506647	GSM506647	2
GSM506648	GSM506648	2
GSM506649	GSM506649	1
GSM506650	GSM506650	2
GSM506651	GSM506651	2
GSM506652	GSM506652	2
GSM506653	GSM506653	2
GSM506654	GSM506654	2
GSM506655	GSM506655	2
GSM482872	GSM482872	2
GSM482987	GSM482987	2
GSM482988	GSM482988	2
GSM482989	GSM482989	2
GSM482990	GSM482990	1
GSM482991	GSM482991	2
GSM484715	GSM484715	2
GSM484716	GSM484716	1
GSM484717	GSM484717	2
GSM484718	GSM484718	2
GSM484719	GSM484719	1
GSM484720	GSM484720	1
GSM484721	GSM484721	1
GSM484722	GSM484722	1
GSM484723	GSM484723	1
GSM484724	GSM484724	1
GSM484725	GSM484725	1
GSM484726	GSM484726	2
GSM484727	GSM484727	1
GSM484728	GSM484728	2
GSM484729	GSM484729	2
GSM484730	GSM484730	2
GSM484731	GSM484731	2
GSM484732	GSM484732	1
GSM484733	GSM484733	2
GSM484734	GSM484734	2
GSM484735	GSM484735	2
GSM484736	GSM484736	2
GSM484737	GSM484737	2
GSM484738	GSM484738	1
GSM484739	GSM484739	1
GSM516627	GSM516627	2
GSM516628	GSM516628	2
GSM516629	GSM516629	2
GSM516630	GSM516630	1
GSM516631	GSM516631	2
GSM516632	GSM516632	1
GSM516633	GSM516633	2
GSM1827058	GSM1827058	1
GSM1827059	GSM1827059	1
GSM1827060	GSM1827060	1
GSM1827061	GSM1827061	1
GSM1827062	GSM1827062	2
GSM1827063	GSM1827063	2
GSM1827064	GSM1827064	1
GSM1827065	GSM1827065	1
GSM1827066	GSM1827066	1
GSM1827067	GSM1827067	2
GSM1827068	GSM1827068	2
GSM1827069	GSM1827069	2
GSM1827070	GSM1827070	1
GSM1827071	GSM1827071	1
GSM1827072	GSM1827072	1
GSM1827073	GSM1827073	1
GSM1827074	GSM1827074	1
GSM1827075	GSM1827075	2
GSM1827076	GSM1827076	2
GSM1827077	GSM1827077	1
GSM1827078	GSM1827078	1
GSM1827079	GSM1827079	1
GSM1827080	GSM1827080	2
GSM1827081	GSM1827081	1
GSM1827082	GSM1827082	1
GSM1827083	GSM1827083	2
GSM1827084	GSM1827084	1
GSM1827085	GSM1827085	1
GSM1827086	GSM1827086	1
GSM1827087	GSM1827087	2
GSM1827088	GSM1827088	1
GSM1827089	GSM1827089	1
GSM1827090	GSM1827090	1
GSM1827091	GSM1827091	2
GSM1827092	GSM1827092	1
GSM1827093	GSM1827093	1
GSM1827094	GSM1827094	1
GSM1827095	GSM1827095	2
GSM1827096	GSM1827096	2
GSM1827097	GSM1827097	1
GSM1827098	GSM1827098	1
GSM1827099	GSM1827099	2
GSM1827100	GSM1827100	1
GSM1827101	GSM1827101	1
GSM1827102	GSM1827102	1
GSM1827103	GSM1827103	2
GSM1827104	GSM1827104	2
GSM1827105	GSM1827105	1
GSM1827106	GSM1827106	2
GSM1827107	GSM1827107	2
GSM1827108	GSM1827108	2
GSM1827109	GSM1827109	1
GSM1827110	GSM1827110	1
GSM1827111	GSM1827111	2
GSM1827112	GSM1827112	2
GSM1827113	GSM1827113	1
GSM1827114	GSM1827114	2
GSM1827115	GSM1827115	1
GSM1827116	GSM1827116	1
GSM1827117	GSM1827117	2
GSM1827118	GSM1827118	2
GSM1827119	GSM1827119	1
GSM1827120	GSM1827120	2
GSM1827121	GSM1827121	2
GSM1827122	GSM1827122	1
GSM1827123	GSM1827123	2
GSM1827124	GSM1827124	1
GSM1827125	GSM1827125	1
GSM1827126	GSM1827126	2
GSM1827127	GSM1827127	1
GSM1827128	GSM1827128	1
GSM1827129	GSM1827129	1
GSM1827130	GSM1827130	2
GSM1827131	GSM1827131	2
GSM1827132	GSM1827132	1
GSM1827133	GSM1827133	1
GSM1827134	GSM1827134	1
GSM1827135	GSM1827135	2
GSM1827136	GSM1827136	1
GSM1827137	GSM1827137	1
GSM1827138	GSM1827138	1
GSM1827139	GSM1827139	2
GSM1827140	GSM1827140	2
GSM1827141	GSM1827141	1
GSM1827142	GSM1827142	1
GSM1827143	GSM1827143	1
GSM1827144	GSM1827144	2
GSM1827145	GSM1827145	1
GSM1827146	GSM1827146	2
GSM1827147	GSM1827147	2
GSM1827148	GSM1827148	2
GSM1827149	GSM1827149	1
GSM1827150	GSM1827150	1
GSM1827151	GSM1827151	2
GSM1827152	GSM1827152	1
GSM1827153	GSM1827153	1
GSM1827154	GSM1827154	1
GSM1827155	GSM1827155	1
GSM1827156	GSM1827156	1
