Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
RMS058	0	0.0537409430678188	0.177292126463068	0.0805450526986317	0	0.0668489425340613	0	0.0601630858419001	0.0316519032192794	0.0224754938068424	0	0.0323820818057607	0.0161393150097522	0.208250337941274	0.130155575168405	0.494990099645288	0.0184768803908072	0	0.054422533689565	0.0136099284886627	0	0	0	0.637680020121239	0.792853373197594	1.46114429977112
RMS060	0	0.0318581125190448	0.152376601403031	0.107212883977618	0	0.0617871294104095	0	0.0251759850314373	0.005724046261599	0	0	0.0468161810628846	0.0257579615420034	0.0297670879909104	0.0549013135351631	0.410137648295445	0.0141286678758994	0	0.0154736428514307	0.0270066038846818	0.000940721054415989	0.00160018374419798	0	0.768821214735458	0.718186882318245	1.01066477044017
RMS064	0.00192357348929235	0.00578079006758904	0.0665656383009885	0.0938339340039365	0	0.0355719744005345	0	0.0427416848761708	0.043210494848515	0.0141808930858863	0	0.0148931952659762	0.0119939113613693	0.175839761002725	0.0401760535206923	0.412857743581758	0	0.00050293824896027	0.0373257833947953	0.00713487941858347	0.00530334764617031	0	0	0.680948955660461	0.762646252593082	1.00983659651394
RMS067	0.0235542276364712	0	0.0895493474730702	0.0750689308176665	0	0.0984892445474487	0	0.0238342384191078	0.000445098254641324	0	0.00189212624149476	0.0306543046786168	0.161162303174256	0.134691499142731	0.173038394317676	0.551106164611319	0	0.0736054038736351	0	0.531437948123997	0.00147976936581051	0.250625129680745	0	0.433732163857972	0.903450291090651	2.22063413035869
RMS075	0.0485683274783927	0.0446065910164438	0.199991486396905	0.0899036997512621	0	0.0602901609485231	0	0.0675122496426565	0.0120325605826438	0.0200070128027502	0.000284808976607818	0.015987532411225	0.0325968265467576	0.191525013152098	0.0531688266782034	0.384883509935628	0	0.0483111172564426	0	0.177983769980475	0	0.108051380248178	0	0.687671741601873	0.767037302483796	1.55570487380519
RMS076	0.0188594829531751	0.0356754871770016	0.0682071633667267	0.0629348918867216	0	0.115104429487617	0	0.0350120528772524	0.0168024511917542	0	0	0.0376990536462149	0.000153964021884499	0.21841907748117	0.0603890479778819	0.56719078005589	0	0	0	0.150208868331188	0	0.0333506028326733	0	0.7307748388373	0.72712269431203	1.42000735328715
RMS078	0.022111098628361	0.0119969023903126	0.0503909678760818	0.0871881421460843	0	0.0790394027136779	0	0.0369441652514408	0.0274258797860126	0	0.0239418287738136	0.0145632570925513	0.0372535011608276	0.0651452457817292	0.0353105910065501	0.405794157433381	0.0124974637977761	0.0128618111701261	0.00771435651127058	0.0376010630137582	0	0	0	0.649753464454535	0.788901305716829	0.967779834533755
RMS080	0	0.0254512646002437	0.0563277647362841	0.0975602074747807	0.0138566476612562	0.0767513330083289	0	0.0188800759434263	0.0049363202775577	0	0	0.0467765645644215	0.0205371048943988	0.0192200584326121	0.0381254340104536	0.423635732720017	0.00374299495767106	0.0202861158651848	0.00836690968085992	0.0300896222582595	0	0	0	0.618411131723514	0.803693350825149	0.904544151085755
RMS081	0	0.0382472193843235	0.123031943241782	0.125433273785348	0	0.0575666864668632	0	0.0469809540211946	0.0649103606584653	0	0	0.0425951494230121	0.0580904136541339	0.130381614815066	0.0789780559083995	0.452926486477937	0.00873349331701673	0	0.0268126612653114	0.00535136376941303	0	0.0242781471558747	0	0.788827464927748	0.711241188599609	1.28431782334414
RMS082	0.0106462599688347	0.00971560777757583	0.0992730728109271	0.0400940220971324	0	0.107137321608862	0	0.0371397209297406	0.0250360068657013	0.0141121294240197	0	0.0760821312311246	0.0431739149568257	0	0.0556615962703874	0.341427064984259	0	0.061719103525218	0	0.447355714699191	0.00607818449421137	0.0209955735511861	0	0.598891315103844	0.803365223889688	1.3956474251952
RMS084	0.0275384621189033	0	0.088221309220408	0.0927605780599156	0	0.0988135222743888	0.00256761231011976	0.0530744649154181	0.030807490850011	0	0.0109294183471039	0.0182454291584332	0.00673378350265893	0.183466865154334	0.0715881894591698	0.349363710115659	0	0.011014097175771	0	0.0817596629235887	0	0.0651724593193848	0	0.72318289518062	0.746078494591674	1.19205705490527
RMS085	0.0402635485688829	0	0.0896483022478942	0.11772557971842	0	0.105807148400166	0.0497198771671332	0.0463134734111214	0.0173204892362411	0.0337019221351957	0	0.0166794437213196	0.0240030190510138	0.0635236454519776	0.136494075786972	0.487861667242217	0	0	0.0846223026740624	0	0	0.0142131862417036	0	0.828095081798982	0.692363597272244	1.32789768105432
RMS087	1.36336602069575	0.284710656587785	0.236951099143513	0.317100838202206	0.478178215336654	0.0278658703575678	0.0756485090650754	0.227686788129687	0.0692709224766027	0	0.122644449839046	0	0.0119476332230783	0.23782876909281	0.082348520643593	0.681825219572411	0	0.0229188619383612	0.0520859823235868	0	0	0.0100752679870663	0	0.831083838487274	0.635747199157596	4.30245362461479
RMS090	0.00184819626775687	0.0163987366458797	0.056162359597064	0.0621610733982688	0	0.185754478938984	0	0.0130017344060304	0.00411963077919355	0	0.00334131190390896	0.0406575426843393	0.0475057909638721	0.261495237010718	0.0345651401891401	0.288147666753845	0.00255533442647349	0.0413209932314205	0	0.0926661450673884	0.00657189452713418	0.038030112768695	0	0.718991776911191	0.743499040990368	1.19630337956011
RMS091	0	0.0728300921505801	0.0772977500284327	0.0804869830036272	0	0.0794061622148064	0	0.0267173825742186	0.0162205226607618	0	0	0.0348991405117481	0.0196628315647281	0	0.0236846278554267	0.554233223003349	0.0117915388926425	0.00939569245716191	0.0222371811150368	0.00689045691611329	0	0.0102596065653069	0	0.750223994478835	0.722638772683658	1.04601319151394
RMS092	0.044647223389257	0	0.120066153312014	0.190695433496102	0	0.099277285009246	0	0.0369224370307914	0.0234701087476735	0.0296961898418282	0	0.044530590962595	0.0207549279558477	0.0158263221624077	0.0921790968865682	0.328935687456267	0.00516195141883214	0	0.00989044439352528	0.0304766487131307	0	0.00665580758963643	0	0.736721363564184	0.74118013189023	1.09918630836572
RMS093	0.0673677622530502	0	0.169318049906902	0.0729503669272706	0	0.0936544719244913	0.00466746344344939	0.0461778106837938	0.0125312900543609	0.00277190050782299	0	0.0324388224167071	0.0397634308365865	0.0363119126188156	0.0892963836488841	0.335280299738154	0.000981388655170353	0.00328744574459913	0.108098853044056	0	0	0.0160143658593763	0	0.676132756461811	0.781844459734196	1.13091201826349
RMS094	0	0.00920299804807448	0.0745175034792438	0.0999385078510754	0	0.125436937135861	0	0.00953131313281406	0.0045381519841378	0	0.0150986616657018	0.012363389769382	0	0.285782614431979	0.0306013150374668	0.239995202539211	0	0.00822293373640284	0	0.0671479460196475	0	0	0	0.697058354241122	0.747850028148869	0.982377474830997
RMS096	0.0284506670553358	0	0.059466977168366	0.0927726231119409	0	0.0924668157858136	0	0.0330770480838662	0.0402694328023524	0	0.00671356986205644	0.0161015043372704	0.0105975785099555	0.139774361971515	0.0314884379908178	0.328707530025891	0	0.00309855291287153	0.0176367171190398	0.0295181328258958	0	0	0	0.595506198975403	0.817278607466914	0.930139949562988
RMS100	0	0.0422195186587776	0.0920346943554538	0.0977597511542012	0	0.0523191835345655	0.00273893453837015	0.0290780069636003	0	0.00728709114168142	0	0.052376013579083	0.0267848935617587	0	0.110536993171534	0.491587706657037	0.0246532728697742	0	0.0609527694495148	0	0.00356806774011892	0.0124083950627978	0	0.70534647640973	0.755716051761274	1.10630529243827
RMS102	0	0.0405152741462314	0.0676883461857301	0.0403898123637598	0	0.0428876976465751	0	0.0367924089578363	0.00493794322572471	0.00538133760894909	0	0.0401874233058785	0.0102701219606797	0.0798972440099104	0.0588607629580972	0.426136818977769	0	0	0	0.0607625004082865	0	0	0	0.710683580523192	0.74183322691708	0.914707691755428
RMS104	0.0168456560307552	0.0206567422948003	0.128434838175563	0.108595927820655	0	0.142442854195433	0.00614434403658061	0.0489771726068606	0.0261851038873266	0.0438303706217624	0	0.0430383341559954	0.010368259436352	0.0295154736320528	0.0977846494277536	0.445415493587938	0.0112683467440413	0	0	0.026295209918658	0.00462519162016101	0	0	0.633518527045916	0.798824023648021	1.21042396819269
RMS105	0.118495324676987	0.00934424232784872	0.223733695833202	0.137105243421579	0.169386407428813	0.203631025284107	0.0304926836678768	0	0	0	0.0193822034372019	0	0.0183643454936628	0.0793470043863846	0.0815082675226938	0.27375896975319	0	0	0	0.0324423987940214	0	0	0	0.745649024838649	0.730945499356219	1.39699181202757
RMS106	0.136745434562138	0.0077354288819445	0.0633526225911782	0.349452388384982	0	0.108379026127393	0.115779241977044	0.111321856931367	0.030299938885974	0.100222819754715	0.137180768149684	0.0230787755716973	0.0517684598825824	0.0413559878603223	0.0347238347108783	0.276184276642033	0.0182019315092426	0.036744401373909	0.0489263658073382	0	0.00376939519595624	0.143503560499305	0	0.861451638524329	0.664483842312192	1.83872651529968
RMS109	0.00837882208972241	0.0329322429905926	0.0590208671476596	0.122244596392982	0	0.0299939293188576	0	0.0247312396789479	0.0351112162986067	0	0	0.0337736874629483	0.0239786760141896	0.0966339773536889	0.0486864784786002	0.362761240821229	0.00904750610788553	0.0132074590389643	0.031742021910012	0.0125488177230432	0.0112268614953991	0.0158763128531582	0	0.634745296468643	0.79866853421825	0.971895953176487
RMS110	0	0.0439297156643246	0.0612102798229655	0.101887901889999	0	0.0738508716758172	0.0086451157201252	0.0273426474138431	0.032223932199377	0	0	0.0315481542357363	0.077861860430479	0	0.0312525091863173	0.530922582527252	0.00671780516774616	0	0	0.0540429026675808	0.0072436372753399	0.012262715671068	0	0.718324166378051	0.746459501905545	1.10094263154797
RMS111	0.00411989049343621	0.0238774059309968	0.173689643409737	0.133284026351739	0	0.2213373621173	0.0286122452793936	0.1018799365139	0.00172383579543876	0.0462278901565988	0.0365164350225313	0	0.0239491574337286	0.290817835471062	0.0892557032235442	0.5392679275794	0	0.00959465583994278	0.0304594039337291	0.0282727788370784	0	0.252501591453548	0	0.712169993031017	0.753392701048623	2.0353877248431
RMS112	0	0.0563618096228687	0.0544313646405045	0.0647791936215808	0	0.08974624985317	0	0.0308152940783153	0.0434672992907338	0	0	0.0394810783912654	0.0120005365647054	0.0898495954189997	0.0368330008531827	0.377035833254132	0.00141756567055963	0.0146377725529195	0.0401806128133078	0	0	0.0201511559499634	0	0.708615397259551	0.75870668917604	0.971188362576209
RMS113	0	0.0319431638295146	0.0560956624425181	0.134902463584952	0	0.107767214339686	0	0.0394450233695896	0.0203170822060086	0	0	0.0393832214972061	0.030351653318305	0	0.0894371323326697	0.355337304841454	0.0138096248864949	0	0.103108709685303	0	0	0.00515997877417198	0	0.61603127148567	0.813729051083139	1.02705823510787
RMS114	0.0116251369200724	0.0131987120976437	0.0754785911908761	0.0777772330685394	0	0.0209496930470289	0	0.0213857054978333	0.0546082336544183	0.0395853894566202	0.00229230879026725	0.00990138190113375	0	0.168473844637221	0.0533520713319279	0.459116445999056	0.0272774482049041	0	0.0367852860795066	0.00242571765260071	0	0.00763461460180242	0	0.776435441607654	0.701094721560977	1.08186781413145
RMS116	0.0404571952233738	0	0.0776615853365113	0.108019157313988	0	0.0787311442716425	0.000581150864094231	0.0623695646876227	0.0441031907695299	0	0.0125273017164056	0.0121818860286542	0.0418965640431357	0.311760836009371	0.0884240463911452	0.667575504236516	0.00135458268242045	0	0.0290603595336245	0.0264828830250945	0	0.0308885786585457	0	0.720102547713254	0.73282103145043	1.63407553079168
RMS117	0.00194266618918296	0.0146457423947702	0.0599358627901543	0.0898918645698127	0	0.0697498963539053	0	0.0313103637167169	0.0280965900069376	0	0.00605108126768849	0.0254045765772394	0.0148824371682519	0.0152190600391543	0.0334280103672881	0.373914286235448	0.0043203218512341	0.00674521889647985	0.0678563688579709	0.0175287915133007	0	0.0105632152782275	0	0.691839051518933	0.770749217783163	0.871486354073763
RMS118	0	0.0330215130547406	0.0965109311224824	0.0764546817707252	0	0.0236219341758182	0	0.0511178416867427	0.030333649061447	0	0	0.0463049494785978	0	0.152015218675815	0.0354901188960819	0.299300584234355	0	0	0.0161231761087243	0.0402147692344233	0	0	0	0.732571652238642	0.736580290855437	0.900509367499953
RMS120	0.0183638417364463	0.0104198261653001	0.108803380523135	0.0912086521293645	0	0.0782143571499404	0	0.0219027136817232	0.0401842604411141	0	0	0.0536305744929411	0.0470979035912827	0.0496808718381708	0.0483323400644784	0.382514486304713	6.44354668845802e-06	0.00760715780404725	0.0756816133171951	0	0	0.0101000406809679	0	0.289988870159051	0.963966476298957	1.04374846346751
RMS123	0	0.0158392872374535	0.0545388071408082	0.0708600002968092	0	0.0788699507531765	0	0.041475624808541	0.0281975386457918	0	0	0.0390898095350116	0.00357404102398255	0.18989450395348	0.0737751183840138	0.664375815020899	0.0317332822201166	0	0.042579405793601	0	0	0.00594178151842379	0	0.763268016742815	0.698923491776206	1.34074496633211
RMS130	0	0.0426596794340807	0.0515798034571931	0.102467410072656	0	0.0583051017407443	0	0.0162331859830914	0.0321005413694958	0	0	0.0237829458183405	0.00178599435083501	0.102911667522984	0.0785963011560961	0.494708814690973	0	0	0.0438289564885748	0	0	0.0219317206486055	0	0.698212743876841	0.752994932766084	1.07089212273367
RMS131	0	0.055472148367717	0.0624198736978113	0.0794027461842846	0	0.0621508706362217	0	0.0417894663671492	0.00818973243754695	0	0.0041617668196384	0.0259068292599954	0.0262897014235013	0.0186176054817128	0.0203352462653403	0.387995458560526	0.0136345967799339	0.0096575867663419	0.023934094741699	0.0180043711211967	0	0	0	0.634125876756518	0.798466307708741	0.857962094910617
RMS132	0.0248231481663201	0.0137601828389262	0.170067671622592	0.104529554230245	0.0146663418582358	0.0292432623109972	0	0.0300584560387644	0.010629157950438	0	0.0162063584532249	0.0383983877917524	0.0305229583604124	0	0.0485560016842333	0.349438487118287	0.0139050517074392	0	0	0.0542722086687065	0	0	0	0.667540497330518	0.777195458376773	0.949077228800574
RMS133	0.00506473654670131	0.0131429264544358	0.0496791141293099	0.111698391798622	0	0.0231716182019267	0	0.0374470719259632	0.0343992349102343	0	0	0.0461435510253954	0	0.108988514266484	0.0374855693572826	0.55399401239114	0	0	0.021259624240823	0.0124641453442159	0	0	0	0.807297197308721	0.670080042176092	1.05493851059253
RMS134	0	0.0242369861131364	0.0570134264870115	0.0439759465206491	0	0.0693495554164863	0	0.039091885376012	0.0236155990042626	0	0.00752053432442195	0.0334763434302186	0.00802073713414298	0.22370002761203	0.052980552727065	0.487370161315219	0.0138118910896567	0	0	0.0783835752283564	0.0125731243230073	0	0	0.74318812059157	0.714122335061354	1.17512034610168
RMS136	0	0.00857700298085958	0.0732194803079243	0.115989865423899	0	0.067847490338791	0.0296572526896249	0.0989567880211795	0.000832408319456618	0	0	0.0936003249835119	0.0416968412766515	0.218917929750082	0.348754030667667	0.407131922886274	0	0	0	0.049369495847556	0.031509023427193	0.0145749186350093	0	0.660350861460126	0.763908051461536	1.60063477555568
RMS138	0.0601774842119198	0	0.215977802005255	0.1587153230632	0	0.086848771223897	0	0.102533926894588	0.0152518282144522	0.0759450084113601	0	0.0200959828302656	0	0.133825733580614	0.128840734110572	0.261890098541763	0.0152469276578825	0	0.0348207139425391	0.0425301268106398	0	0.0123682470941943	0	0.707866954076082	0.757772224510322	1.36506870859314
RMS139	0.280116617024184	0.000352847040969722	0.304252004719633	0.0512504186046895	0.0100087073229058	0.0213649195798457	0	0.0987922036792487	0.0725114830816787	0.0265923345375914	0	0.0416089405929826	0	0.112166084790646	0.114889169059021	0.340093178952386	0	0	0.0690398487536296	0	0.00896892916479957	0.00407801857274346	0	0.80665418163643	0.672569061265716	1.55608570547695
RMS141	0	0.022882341983473	0.0438538371090793	0.0619708520840981	0	0.124654622560403	0	0.0229943077630958	0.0190256093589002	0	0	0.0675776331921668	0.0150289932904389	0.119535428225007	0.0338292843646991	0.373454522494443	0.00880454494752735	0	0.0102344313597342	0.0388710124669551	0.00487140524929836	0.0102853361431868	0	0.701174785311618	0.755133621632071	0.977874162592506
RMS142	0.0383162415831974	0	0.0515382176888318	0.111202675472792	0	0.0371438599233341	0	0.0335633226191925	0.0256689436741511	0	0.0252128810396198	0.0215451110684185	0.0216165621603038	0.00701532433732797	0.0467519852634222	0.330817971417461	0	0.0659263607681489	0.0473702967529447	0.00222818226353074	0	0.00676227395954246	0	0.546234694485673	0.847323749040096	0.872680209992219
RMS143	0.0192672639459688	0	0.176444830986489	0.0825990118953814	0	0.0727070844013144	0.00432718846897449	0.0309461350080241	0.0313030477253109	0	0.0193382537405878	0.0200944215093521	0.00570871980811541	0.140078599076386	0.0389219789150709	0.312416743139305	0	0.00336755167292693	0.0274602460892977	0.0214836637077029	0	0	0	0.720554564541478	0.746843087794565	1.00646474009021
RMS144	0.0207224599601152	0	0.0640358538893648	0.0898293417465113	0	0.0797991784768427	0	0.0432244503856373	0.0154446396539101	0	0	0.0624637997920779	0.0222421573768926	0.0340686966069196	0.0292984429973521	0.361736333492659	0.0136128220229848	0.00455349195762231	0.00101324587456408	0.0342848280334186	0.00886656367152709	0	0	0.694529649178179	0.763705040319277	0.8851963059384
RMS148	0.00872420621604636	0.0149173813703055	0.0589326943444456	0.122244253189499	0	0.0696091446038174	0.0525458787757431	0.062479407063854	0.0173119935666886	0.00291023482642561	0.0129679566167309	0.0257152655420953	0	0.156814569268993	0.10480804768415	0.555116065172701	0.00467423125386648	0	0.0432172768461359	0.0123247579075889	0	0.0222048567015349	0	0.693900334060274	0.759454978330254	1.34751822095062
RMS149	0.00802448065969527	0.0140521260736349	0.0838915571238629	0.126168114204576	0	0.078365894520974	0.000967564515253657	0.0648016254040762	0.0267197061532969	0	0	0.0467042854344081	0	0.153826740279874	0.0831914501458622	0.428483297313342	0.0151897363066591	0	0	0.0555412287625015	0	0.00841925303004316	0	0.622741659290899	0.801021983935248	1.19434705992806
